WKT;ID;CODIGO;NOMOFICIAL;ALT_IZQINI;ALT_IZQFIN;ALT_DERINI;ALT_DERFIN;NOMANTER;TIPO_C;LONG;OBSERVA;NOM_MAPA;SENTIDO;COD_SENT;BICISENDA;LADO_CICLO;RECORRID_X;CICLO_OBSE;TOOLTIP_BI
LINESTRING (-58.438510774582497 -34.602194265991685,-58.439773204936479 -34.60300425872088);9868;1057;ALVAREZ, JULIAN;102;200;101;199;ALVAREZ;CALLE;146.57;;JULIAN ALVAREZ;DECRECIENTE;;;;;;
LINESTRING (-58.440513599183014 -34.602044500052301,-58.439773204936479 -34.60300425872088);9869;17003;PADILLA;302;400;301;399;;CALLE;126.29;corrección altura 13-1-03;PADILLA;DECRECIENTE;;;;;;
LINESTRING (-58.422381140671078 -34.601751112439899,-58.42253476769838 -34.602853599234258,-58.422558452414812 -34.603015796254134);9871;1008;ACUÑA DE FIGUEROA, FRANCISCO;702;800;701;799;ALMAGRO;CALLE;141.24;;FRANCISCO ACUÑA DE FIGUEROA;DECRECIENTE;;;;;;
LINESTRING (-58.424102935503434 -34.602862485958987,-58.422558452414812 -34.603015796254134);9872;3174;CORRIENTES AV.;4102;4200;4101;4199;TRIUNVIRATO (parcial);AVENIDA;142.69;;AV. CORRIENTES;DECRECIENTE;;;;;;
LINESTRING (-58.389528708452737 -34.601799710059495,-58.389459167876119 -34.603011474538128);9874;13118;MONTEVIDEO;502;600;501;599;;CALLE;134.58;;MONTEVIDEO;DECRECIENTE;;;;;;
LINESTRING (-58.406943129131975 -34.601625875189114,-58.407407657073293 -34.603022618232089);9877;5001;ECUADOR;602;700;601;699;;CALLE;160.70;;ECUADOR;DECRECIENTE;;;;;;
LINESTRING (-58.371094050620243 -34.603057310396622,-58.370614996532318 -34.603025751450453,-58.370408246842679 -34.603014785743113);9895;3174;CORRIENTES AV.;202;300;201;299;TRIUNVIRATO (parcial);AVENIDA;63.08;;AV. CORRIENTES;DECRECIENTE;;;;;;
LINESTRING (-58.372460613102803 -34.603147205272002,-58.371274260267327 -34.603069136136277,-58.371094050620243 -34.603057310396622);9912;3174;CORRIENTES AV.;302;400;301;399;TRIUNVIRATO (parcial);AVENIDA;125.75;;AV. CORRIENTES;DECRECIENTE;;;;;;
LINESTRING (-58.422558452414812 -34.603015796254134,-58.420954510970546 -34.603175052806847);9915;3174;CORRIENTES AV.;4002;4100;4001;4099;TRIUNVIRATO (parcial);AVENIDA;148.18;;AV. CORRIENTES;DECRECIENTE;;;;;;
LINESTRING (-58.414316901589515 -34.602920901716082,-58.412972712272108 -34.603234528081508);9933;8033;HUMAHUACA;3402;3500;3401;3499;;CALLE;128.11;;HUMAHUACA;DECRECIENTE;;;;;;
LINESTRING (-58.373849753508658 -34.603232875776058,-58.372575160556714 -34.603154755001292,-58.372460613102803 -34.603147205272002);9934;3174;CORRIENTES AV.;402;500;401;499;TRIUNVIRATO (parcial);AVENIDA;127.78;;AV. CORRIENTES;DECRECIENTE;;;;;;
LINESTRING (-58.373849753508658 -34.603232875776058,-58.373858492776598 -34.6031042857811,-58.373899268724152 -34.602244001530295,-58.37390611749602 -34.602130974100085);9935;20044;SAN MARTIN;402;500;401;499;;CALLE;122.35;;SAN MARTIN;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.398370248225675 -34.603304607446674,-58.398486084493278 -34.602305053350605,-58.398497149651263 -34.602203506043644);9951;22012;URIBURU JOSE E., Pres.;502;600;501;599;ANDES;CALLE;122.70;;PRES.JOSE E. URIBURU;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.420954510970546 -34.603175052806847,-58.420745489624132 -34.603195826972545,-58.419510267655625 -34.60332011901265);9954;3174;CORRIENTES AV.;3902;4000;3901;3999;TRIUNVIRATO (parcial);AVENIDA;133.45;;AV. CORRIENTES;DECRECIENTE;;;;;;
LINESTRING (-58.375216328330616 -34.603316612809486,-58.373849753508658 -34.603232875776058);9957;3174;CORRIENTES AV.;502;600;501;599;TRIUNVIRATO (parcial);AVENIDA;125.70;;AV. CORRIENTES;DECRECIENTE;;;;;;
LINESTRING (-58.376658703910358 -34.60340503607479,-58.375216328330616 -34.603316612809486);9976;3174;CORRIENTES AV.;602;700;601;699;TRIUNVIRATO (parcial);AVENIDA;132.67;;AV. CORRIENTES;DECRECIENTE;;;;;;
LINESTRING (-58.419510267655625 -34.60332011901265,-58.418031693067334 -34.603468958515165);9986;3174;CORRIENTES AV.;3802;3900;3801;3899;TRIUNVIRATO (parcial);AVENIDA;136.63;;AV. CORRIENTES;DECRECIENTE;;;;;;
LINESTRING (-58.412972712272108 -34.603234528081508,-58.412833266950543 -34.603267078034037,-58.411584862286134 -34.603478611677758);9988;8033;HUMAHUACA;3302;3400;3301;3399;;CALLE;130.18;;HUMAHUACA;DECRECIENTE;;;;;;
LINESTRING (-58.378071018883702 -34.603491519965146,-58.376658703910358 -34.60340503607479);10004;3174;CORRIENTES AV.;702;800;701;799;TRIUNVIRATO (parcial);AVENIDA;129.90;;AV. CORRIENTES;DECRECIENTE;;;;;;
LINESTRING (-58.449520064974841 -34.602869075951801,-58.449726073922221 -34.602999032526675,-58.45059780902821 -34.60354195952516);10012;21049;TRES ARROYOS;502;600;501;599;MONTE EGMONT;CALLE;123.87;;TRES ARROYOS;CRECIENTE;1;Ciclovías;;;;Ciclovía
