WKT;ID;CODIGO;NOMOFICIAL;ALT_IZQINI;ALT_IZQFIN;ALT_DERINI;ALT_DERFIN;NOMANTER;TIPO_C;LONG;OBSERVA;NOM_MAPA;SENTIDO;COD_SENT;BICISENDA;LADO_CICLO;RECORRID_X;CICLO_OBSE;TOOLTIP_BI
LINESTRING (-58.438602625524723 -34.545953811820553,-58.438559030177721 -34.545688739606753,-58.438555191883225 -34.54534247856386);377;7105;GUIRALDES, INT.;2672;2720;2671;2719;;CALLE;66.71;corrección nombre;INT. GUIRALDES;DOBLE;2;Ciclovías en obra;;;;Ciclovía en obra
LINESTRING (-58.429216014938248 -34.550846455113977,-58.42968974178789 -34.550522849301558);896;16003;OBLIGADO RAFAEL, Av.Costanera;6182;6200;6181;6199;COSTANERA NORTE, Av.;AVENIDA;56.38;;AV.COSTANERA RAFAEL OBLIGADO;DOBLE;2;Ciclovías;;;;Ciclovía
LINESTRING (-58.426901681539753 -34.551970216714203,-58.428480308250812 -34.551283268733457);1035;16003;OBLIGADO RAFAEL, Av.Costanera;5992;6100;5991;6099;COSTANERA NORTE, Av.;AVENIDA;163.71;;AV.COSTANERA RAFAEL OBLIGADO;DOBLE;2;Ciclovías;;;;Ciclovía
LINESTRING (-58.426023872610088 -34.552297858641744,-58.426901681539753 -34.551970216714203);1079;16003;OBLIGADO RAFAEL, Av.Costanera;5902;5990;5901;5989;COSTANERA NORTE, Av.;AVENIDA;88.39;;AV.COSTANERA RAFAEL OBLIGADO;DOBLE;2;Ciclovías;;;;Ciclovía
LINESTRING (-58.423578934014273 -34.553126151986341,-58.424108781529931 -34.552946381607768,-58.424809103629876 -34.55273208518615,-58.426023872610088 -34.552297858641744);1181;16003;OBLIGADO RAFAEL, Av.Costanera;5502;5900;5501;5899;COSTANERA NORTE, Av.;AVENIDA;242.56;;AV.COSTANERA RAFAEL OBLIGADO;DOBLE;2;Ciclovías;;;;Ciclovía
LINESTRING (-58.411169536898377 -34.557681972465453,-58.412106875812704 -34.55703242770862,-58.412791817781752 -34.556603393541103,-58.413768264828029 -34.556073453381181);1724;16003;OBLIGADO RAFAEL, Av.Costanera;4202;4500;4201;4499;COSTANERA NORTE, Av.;AVENIDA;297.26;;AV.COSTANERA RAFAEL OBLIGADO;DOBLE;2;Ciclovías;;;;Ciclovía
LINESTRING (-58.4097778347315 -34.55878448067601,-58.410585461502727 -34.5581408541548,-58.411169536898377 -34.557681972465453);1828;16003;OBLIGADO RAFAEL, Av.Costanera;3452;4200;3451;4199;COSTANERA NORTE, Av.;AVENIDA;175.93;;AV.COSTANERA RAFAEL OBLIGADO;DOBLE;2;Ciclovías;;;;Ciclovía
LINESTRING (-58.423368361538806 -34.562678558040204,-58.423573603000968 -34.562407230978586,-58.423722541811983 -34.562233266719602,-58.423902350039356 -34.562017009361888);2235;6025;FIGUEROA ALCORTA, PRES. AV.;5382;5400;5381;5399;CENTENARIO, Av.;AVENIDA;88.27;;AV.PRES. FIGUEROA ALCORTA;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.422599920307377 -34.564036678042584,-58.422781140416831 -34.563732780342463,-58.42327466029559 -34.562801491018881,-58.423368361538806 -34.562678558040204);2387;6025;FIGUEROA ALCORTA, PRES. AV.;5302;5380;5301;5379;CENTENARIO, Av.;AVENIDA;166.51;;AV.PRES. FIGUEROA ALCORTA;DOBLE;2;Ciclovías;;;;Ciclovía
LINESTRING (-58.42058428795859 -34.580794114441773,-58.417267953722373 -34.577349467774653);4846;20075;SARMIENTO AV.;2602;3100;2601;3099;;AVENIDA;488.48;corrección numeración 22-1;AV. SARMIENTO;DOBLE;2;Ciclovías;Mano izquierda;Vereda;;Ciclovía
LINESTRING (-58.474334149583051 -34.592305994002743,-58.473026222653289 -34.591256153491678,-58.472994451923981 -34.591205168232072,-58.4730156481302 -34.591136713014251);7367;21059;TRONADOR;0;0;0;0;ESTOMBA Y PLAZA;CALLE;181.42;s/n corrección 10-1;TRONADOR;DOBLE;2;Bicisendas;;;;Bicisenda
LINESTRING (-58.368618312780619 -34.596918785763798,-58.369581906638132 -34.594215406415472);8300;1087;ANTARTIDA ARGENTINA AV.;0;0;0;0;;AVENIDA;312.65;;AV.ANTARTIDA ARGENTINA;DOBLE;2;Ciclovías;Mano izquierda;Vereda;;Ciclovía
LINESTRING (-58.368116331843062 -34.598437188181173,-58.367980701469961 -34.598401870366118,-58.367777702989038 -34.598292976083293,-58.367359403104786 -34.598259761395205,-58.366606456414807 -34.598325018359347,-58.36596093145733 -34.59829281695685);8646;7135;GRIERSON, CECILIA;52;100;51;99;;CALLE;202.56;corrección nombre y núm.28-1;CECILIA GRIERSON;DOBLE;2;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.36342198470718 -34.611716344728542,-58.36354979856663 -34.611747335661157,-58.363654966958933 -34.611785636700937);29027;23484;VILLAFLOR, AZUCENA;0;0;0;0;MONSERRAT-BELGRANO, AV.;BOULEVARD;22.76;corrección númeración 28-1;AZUCENA VILLAFLOR;DECRECIENTE;;;;;;
LINESTRING (-58.358077164754071 -34.61716228251116,-58.357964765370689 -34.617736149751032,-58.357703203470713 -34.61925499642647);14271;20030;CALABRIA AV.;0;0;0;0;SANCHEZ, FLORENCIO;AVENIDA;234.68;;AV.CALABRIA;DOBLE;2;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.374186184804486 -34.656483774300817,-58.374425738555978 -34.656621736250344,-58.374768585955032 -34.656751186110334,-58.375102934830991 -34.656828907061104,-58.375338425673448 -34.656826053749803);24549;12172;LAVADERO;2102;2200;2101;2199;;CALLE;114.75;;LAVADERO;DOBLE;2;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.453885937070801 -34.556124632584954,-58.4537719639386 -34.556056381759198,-58.453544273594986 -34.555919950231214);1531;2083;BLANCO ENCALADA;1802;1850;1801;1849;;CALLE;38.71;;BLANCO ENCALADA;DECRECIENTE;;;;;;
LINESTRING (-58.358967678260036 -34.611767429494925,-58.358916501805304 -34.611822317517159,-58.358850729815501 -34.61190099676373,-58.358816601377924 -34.611946180595048,-58.358787155981773 -34.611992847331415,-58.358756576347218 -34.612061063160795,-58.358727026731025 -34.612122941604611,-58.358708780445639 -34.612205393791349,-58.358706394066623 -34.612274760434346,-58.358706309846973 -34.61234229798751,-58.358676441154081 -34.612591577201862);12147;20030;CALABRIA AV.;0;0;0;0;SANCHEZ, FLORENCIO;AVENIDA;97.77;;AV.CALABRIA;DOBLE;2;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.361278960603542 -34.605391887228926,-58.359435754266421 -34.610620362068509);10391;4046;DE LOS ITALIANOS AV.;0;0;0;0;;AVENIDA;604.15;corrección numeración 29-1;AV. DE LOS ITALIANOS;DOBLE;2;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.461549159300624 -34.573507972645899,-58.461730296292828 -34.573432189416749);27748;20127;SUPERI;0;0;0;0;;CALLE;18.63;;SUPERI;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.470234786920294 -34.592201128868979,-58.474334149583051 -34.592305994002743);27809;7109;GUTENBERG;0;0;0;0;LA VIA DEL TRANVIA REAL;CALLE;376.25;;GUTENBERG;DOBLE;2;Bicisendas;;;;Bicisenda
LINESTRING (-58.443369629242241 -34.561717898709389,-58.444313357575751 -34.56144621325393);28963;12107;DEL LIBERTADOR AV.;0;0;5451;5499;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;91.70;;AV.DEL LIBERTADOR;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.46065278446973 -34.535115519120531,-58.460796900081306 -34.534987055256707,-58.460916491526746 -34.534817859443358,-58.461005220039063 -34.534707722632,-58.461101665120793 -34.534519371857613);5;3054;COLECTORA CANTILO, Int.;0;0;0;0;CANTILO, Int.;CALLE;78.57;Agregado en el nombre de Colectora por ser parte de un sector diferenciado del de la Autopista (Mayo 2014);Colectora INT. CANTILO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.473710960341833 -34.539365146922123,-58.474141009074032 -34.538784727226776);60;16002;VUELTA DE OBLIGADO;4802;4900;4801;4899;OBLIGADO;CALLE;75.53;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.473134205756779 -34.540143544954617,-58.473710960341833 -34.539365146922123);80;16002;VUELTA DE OBLIGADO;4702;4800;4701;4799;OBLIGADO;CALLE;101.29;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.472565779753964 -34.540911164326857,-58.473015160511032 -34.54030426703077,-58.473134205756779 -34.540143544954617);102;16002;VUELTA DE OBLIGADO;4602;4700;4601;4699;OBLIGADO;CALLE;99.87;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.471993003422803 -34.541684697065065,-58.472565779753964 -34.540911164326857);136;16002;VUELTA DE OBLIGADO;4502;4600;4501;4599;OBLIGADO;CALLE;100.64;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.471451362306219 -34.542417025640489,-58.47156700958412 -34.542260037963537,-58.471993003422803 -34.541684697065065);178;16002;VUELTA DE OBLIGADO;4402;4500;4401;4499;OBLIGADO;CALLE;95.25;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.463719752670265 -34.542451280249715,-58.463181556599217 -34.541583819324401);180;19047;RIVADAVIA MARTIN, COMODORO;0;0;1601;1699;;CALLE;108.17;;COMODORO MARTIN RIVADAVIA;DECRECIENTE;;;;;;
LINESTRING (-58.463888104029351 -34.542770096770788,-58.463719752670265 -34.542451280249715);203;19047;RIVADAVIA MARTIN, COMODORO;1702;1740;0;0;;CALLE;38.60;;COMODORO MARTIN RIVADAVIA;DECRECIENTE;;;;;;
LINESTRING (-58.470875161797593 -34.543199356428083,-58.471451362306219 -34.542417025640489);224;16002;VUELTA DE OBLIGADO;4302;4400;4301;4399;OBLIGADO;CALLE;101.63;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.464245153564377 -34.543490690508037,-58.464202681086718 -34.543365544233019,-58.463888104029351 -34.542770096770788);240;19047;RIVADAVIA MARTIN, COMODORO;1742;1800;0;0;;CALLE;86.51;;COMODORO MARTIN RIVADAVIA;DECRECIENTE;;;;;;
LINESTRING (-58.470302609826604 -34.543976613506651,-58.470875161797593 -34.543199356428083);271;16002;VUELTA DE OBLIGADO;4202;4300;4201;4299;OBLIGADO;CALLE;100.98;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.469782129755188 -34.544683298067625,-58.470302609826604 -34.543976613506651);309;16002;VUELTA DE OBLIGADO;4102;4200;4101;4199;OBLIGADO;CALLE;91.80;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.469207344762502 -34.545463507838896,-58.469782129755188 -34.544683298067625);359;16002;VUELTA DE OBLIGADO;4002;4100;4001;4099;OBLIGADO;CALLE;101.36;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.484499138646463 -34.545552584795978,-58.485082806570048 -34.544784203419432);363;20127;SUPERI;4702;4800;4701;4799;;CALLE;100.68;;SUPERI;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.468733739064341 -34.546106449851905,-58.469207344762502 -34.545463507838896);404;16002;VUELTA DE OBLIGADO;3902;4000;3901;3999;OBLIGADO;CALLE;83.53;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.483917246809142 -34.546318709352114,-58.484499138646463 -34.545552584795978);416;20127;SUPERI;4602;4700;4601;4699;;CALLE;100.38;;SUPERI;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.465158711165628 -34.545690498185479,-58.465249872261985 -34.545859729662411,-58.465446752777531 -34.546283970764819,-58.465562769296419 -34.546482216881891,-58.465750111380302 -34.546667995745757);441;19047;RIVADAVIA MARTIN, COMODORO;2002;2100;2001;2099;;CALLE;122.24;;COMODORO MARTIN RIVADAVIA;DOBLE;2;Bicisendas preexistentes;;;;Bicisenda preexistente
LINESTRING (-58.465171920363893 -34.546255172462452,-58.465354156322206 -34.546506236810643,-58.465651741926607 -34.546801105606519);443;10005;JARAMILLO;2052;2100;2051;2099;;CALLE;75.10;;JARAMILLO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.468210849493673 -34.546816367178458,-58.468733739064341 -34.546106449851905);455;16002;VUELTA DE OBLIGADO;3802;3900;3801;3899;OBLIGADO;CALLE;92.23;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.483334834509627 -34.547088422847239,-58.483629572694404 -34.546697438804536,-58.483917246809142 -34.546318709352114);472;20127;SUPERI;4502;4600;4501;4599;;CALLE;100.74;;SUPERI;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.465750111380302 -34.546667995745757,-58.466492508329615 -34.54740427718);496;19047;RIVADAVIA MARTIN, COMODORO;0;0;2101;2199;;CALLE;106.37;;COMODORO MARTIN RIVADAVIA;CRECIENTE;1;Bicisendas preexistentes;;;;Bicisenda preexistente
LINESTRING (-58.467687014847428 -34.547527409035816,-58.468210849493673 -34.546816367178458);513;16002;VUELTA DE OBLIGADO;3702;3800;3701;3799;OBLIGADO;CALLE;92.38;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.482755730622294 -34.547856653983423,-58.483334834509627 -34.547088422847239);538;20127;SUPERI;4402;4500;4401;4499;;CALLE;100.44;;SUPERI;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.467299322484195 -34.548042945258324,-58.466369444210891 -34.547581348666405);552;19047;RIVADAVIA MARTIN, COMODORO;0;0;2201;2299;;CALLE;99.53;;COMODORO MARTIN RIVADAVIA;DECRECIENTE;;;;;;
LINESTRING (-58.467436577481358 -34.547870745415395,-58.467687014847428 -34.547527409035816);553;16002;VUELTA DE OBLIGADO;3652;3700;3651;3699;OBLIGADO;CALLE;44.49;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.482466259778626 -34.548240662834175,-58.482755730622294 -34.547856653983423);572;20127;SUPERI;4352;4400;4351;4399;;CALLE;50.21;;SUPERI;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.442192011454544 -34.547773828502571,-58.443138444515611 -34.548334784708658);579;4111;MONROE;702;800;701;799;;CALLE;106.86;;MONROE;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.467061976186727 -34.548377191111229,-58.467179777950207 -34.548204153149726,-58.467299322484195 -34.548042945258324);585;16002;VUELTA DE OBLIGADO;3602;3650;3601;3649;OBLIGADO;CALLE;43.01;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.468553039656761 -34.548483753450547,-58.467472983103391 -34.548086950876709,-58.467299322484195 -34.548042945258324);598;19047;RIVADAVIA MARTIN, COMODORO;0;0;2301;2399;;CALLE;125.14;;COMODORO MARTIN RIVADAVIA;DECRECIENTE;;;;;;
LINESTRING (-58.482175765213377 -34.548626079654838,-58.482466259778626 -34.548240662834175);616;20127;SUPERI;4302;4350;4301;4349;;CALLE;50.39;;SUPERI;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.443254381269419 -34.545329138892797,-58.444119664739929 -34.544854421963812,-58.445160791463948 -34.544277365472617,-58.446030726151314 -34.543798943462939,-58.446675093719911 -34.543395278118069);29720;3054;CANTILO, Int.;0;0;0;0;;CALLE;380.39;corrección nombre 9-1-03;INT. CANTILO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.469894918100138 -34.54881447187244,-58.468508527994246 -34.548539603259528);637;7028;GARCIA DEL RIO AV.;2402;2500;0;0;;AVENIDA;130.85;;AV. GARCIA DEL RIO;DECRECIENTE;;;;;;
LINESTRING (-58.470418732156553 -34.548918317977133,-58.469894918100138 -34.54881447187244);651;7028;GARCIA DEL RIO AV.;2502;2600;0;0;;AVENIDA;49.44;;AV. GARCIA DEL RIO;DECRECIENTE;;;;;;
LINESTRING (-58.443138444515611 -34.548334784708658,-58.443338864264881 -34.548453554601963,-58.444277312811998 -34.549009852550292);662;4111;MONROE;802;900;801;899;;CALLE;128.59;;MONROE;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.470952336077232 -34.549024062668884,-58.470418732156553 -34.548918317977133);666;7028;GARCIA DEL RIO AV.;0;0;0;0;;AVENIDA;50.36;;AV. GARCIA DEL RIO;DECRECIENTE;;;;;;
LINESTRING (-58.466470714164139 -34.549184572485792,-58.467061976186727 -34.548377191111229);688;16002;VUELTA DE OBLIGADO;3502;3600;3501;3599;OBLIGADO;CALLE;104.72;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.479251613138139 -34.549080405489825,-58.479587739614551 -34.549090007801837,-58.479931615649498 -34.549118482215562,-58.480329291756753 -34.54917659717588,-58.480453056897197 -34.549203904462743);692;23062;VILELA;3302;3400;3301;3399;;CALLE;111.41;;VILELA;CRECIENTE;1;Bicisendas preexistentes;;;;Bicisenda preexistente
LINESTRING (-58.47199231008387 -34.549230194763979,-58.470952336077232 -34.549024062668884);697;7028;GARCIA DEL RIO AV.;2602;2700;0;0;;AVENIDA;98.16;;AV. GARCIA DEL RIO;DECRECIENTE;;;;;;
LINESTRING (-58.481598086564176 -34.549392332960643,-58.482175765213377 -34.548626079654838);708;20127;SUPERI;4202;4300;4201;4299;;CALLE;100.18;;SUPERI;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.473052632621837 -34.549440400968066,-58.47199231008387 -34.549230194763979);714;7028;GARCIA DEL RIO AV.;2702;2800;0;0;;AVENIDA;100.08;;AV. GARCIA DEL RIO;DECRECIENTE;;;;;;
LINESTRING (-58.477629707124166 -34.549480703660322,-58.478226337733624 -34.549276183097923,-58.478802633724172 -34.549129341045919,-58.479251613138139 -34.549080405489825);722;6057;FREIRE, RAMON, CAP. GRAL.;4002;4100;4001;4099;FREYRE-CAPITAN RAMON FREYRE;CALLE;156.19;;CAP.GRAL. RAMON FREIRE;CRECIENTE;1;Bicisendas preexistentes;;;;Bicisenda preexistente
LINESTRING (-58.480453056897197 -34.549203904462743,-58.480671050570855 -34.549251973409092,-58.481014770938799 -34.549342208238464,-58.481341389884925 -34.54946068546402,-58.481492403151869 -34.549532496649739);730;23062;VILELA;3402;3500;3401;3499;;CALLE;102.53;;VILELA;CRECIENTE;1;Bicisendas preexistentes;;;;Bicisenda preexistente
LINESTRING (-58.481492403151869 -34.549532496649739,-58.481598086564176 -34.549392332960643);731;20127;SUPERI;4152;4200;4151;4199;;CALLE;18.33;;SUPERI;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.474102405700435 -34.54964848616784,-58.473052632621837 -34.549440400968066);746;7028;GARCIA DEL RIO AV.;2802;2900;0;0;;AVENIDA;99.08;;AV. GARCIA DEL RIO;DECRECIENTE;;;;;;
LINESTRING (-58.444277312811998 -34.549009852550292,-58.445373646240625 -34.54965969122771);748;4111;MONROE;902;1000;901;999;;CALLE;123.78;;MONROE;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.475168356746067 -34.549859800271165,-58.474102405700435 -34.54964848616784);769;7028;GARCIA DEL RIO AV.;2902;3000;0;0;;AVENIDA;100.61;;AV. GARCIA DEL RIO;DECRECIENTE;;;;;;
LINESTRING (-58.465901570063238 -34.549961808064708,-58.466470714164139 -34.549184572485792);786;16002;VUELTA DE OBLIGADO;3402;3500;3401;3499;OBLIGADO;CALLE;100.81;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.476223162437421 -34.550068852669767,-58.475168356746067 -34.549859800271165);800;7028;GARCIA DEL RIO AV.;3002;3100;0;0;;AVENIDA;99.55;;AV. GARCIA DEL RIO;DECRECIENTE;;;;;;
LINESTRING (-58.481492403151869 -34.549532496649739,-58.481600938775884 -34.549584102021115,-58.4817755373249 -34.549688516354614,-58.482007688281143 -34.549848416891003,-58.482226562253011 -34.550010150176696,-58.482340986378873 -34.55012274269631);810;23062;VILELA;3502;3600;3501;3599;;CALLE;102.24;;VILELA;CRECIENTE;1;Bicisendas preexistentes;;;;Bicisenda preexistente
LINESTRING (-58.477041426773525 -34.550249612784931,-58.476889398794896 -34.550202374828167,-58.476223162437421 -34.550068852669767);824;7028;GARCIA DEL RIO AV.;3102;3200;0;0;;AVENIDA;77.82;;AV. GARCIA DEL RIO;DECRECIENTE;;;;;;
LINESTRING (-58.477247388060555 -34.549980340374923,-58.477629707124166 -34.549480703660322);825;17087;PINTO;3902;4000;3901;3999;;CALLE;65.60;corrección numeración 5-2;PINTO;CRECIENTE;1;Bicisendas preexistentes;;;;Bicisenda preexistente
LINESTRING (-58.445373646240625 -34.54965969122771,-58.446477486220161 -34.550313887392612);832;4111;MONROE;1002;1100;1001;1099;;CALLE;124.63;;MONROE;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.485902846413303 -34.550559532484684,-58.485061244939274 -34.550124939740641,-58.484995173564144 -34.550033009788123);860;19093;RUIZ HUIDOBRO AV.;3702;3800;0;0;;AVENIDA;102.92;corr. altura 8-1-03;AV.RUIZ HUIDOBRO;DECRECIENTE;;;;;;
LINESTRING (-58.465331819576562 -34.550739815588933,-58.465901570063238 -34.549961808064708);886;16002;VUELTA DE OBLIGADO;3302;3400;3301;3399;OBLIGADO;CALLE;100.91;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.446477486220161 -34.550313887392612,-58.447632834522004 -34.550998715101237);912;4111;MONROE;1102;1200;1101;1199;;CALLE;130.45;;MONROE;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.486835452785208 -34.55104465590108,-58.485902846413303 -34.550559532484684);921;19093;RUIZ HUIDOBRO AV.;3802;3900;0;0;;AVENIDA;101.11;corr. altura 8-1-03;AV.RUIZ HUIDOBRO;DECRECIENTE;;;;;;
LINESTRING (-58.477664562346305 -34.551144227423897,-58.477580366779073 -34.551068952533967,-58.477448324209078 -34.550933258036181,-58.47730622386721 -34.550715941089564,-58.47720685752423 -34.550522352396818,-58.477143163099193 -34.550370240203861,-58.477099996181792 -34.550299115235617,-58.477041426773525 -34.550249612784931);932;7028;GARCIA DEL RIO;3202;3300;3201;3299;;CALLE;115.82;;GARCIA DEL RIO;DECRECIENTE;;;;;;
LINESTRING (-58.487655269645344 -34.551470003758929,-58.486835452785208 -34.55104465590108);975;19093;RUIZ HUIDOBRO AV.;3902;4000;0;0;;AVENIDA;88.82;corr. altura 8-1-03;AV.RUIZ HUIDOBRO;DECRECIENTE;;;;;;
LINESTRING (-58.464763505454009 -34.551515777983262,-58.465331819576562 -34.550739815588933);982;16002;VUELTA DE OBLIGADO;3202;3300;3201;3299;OBLIGADO;CALLE;100.65;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.48380410358137 -34.551604820850351,-58.482870997131307 -34.55111678694761);987;23062;VILELA;3702;3800;3701;3799;;CALLE;101.32;;VILELA;DECRECIENTE;;;;;;
LINESTRING (-58.48380410358137 -34.551604820850351,-58.484375992590287 -34.550851446336161);988;24003;WASHINGTON;4102;4200;4101;4199;;CALLE;98.69;corrección altura 8-1-03;WASHINGTON;CRECIENTE;1;Bicisendas preexistentes;;;;Bicisenda preexistente
LINESTRING (-58.436740989612112 -34.551609660107012,-58.437424734163642 -34.550817795048808,-58.437564546121713 -34.5506582390421);989;6025;FIGUEROA ALCORTA, PRES. AV.;6602;6700;6601;6699;CENTENARIO, Av.;AVENIDA;129.82;;AV.PRES. FIGUEROA ALCORTA;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.447632834522004 -34.550998715101237,-58.448739263180627 -34.551654440367209);995;4111;MONROE;1202;1300;1201;1299;;CALLE;124.92;;MONROE;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.478542921136089 -34.551705691910016,-58.478452090892453 -34.551662039670212,-58.478220460726575 -34.551546923160132,-58.478018024094027 -34.551416308874302,-58.477742202885324 -34.551213657721284,-58.477664562346305 -34.551144227423897);999;7028;GARCIA DEL RIO;3302;3400;3301;3399;;CALLE;102.35;;GARCIA DEL RIO;DECRECIENTE;;;;;;
LINESTRING (-58.488462268919477 -34.551707030223518,-58.487655269645344 -34.551470003758929);1000;19093;RUIZ HUIDOBRO AV.;4002;4100;0;0;;AVENIDA;78.60;corr. altura 8-1-03;AV.RUIZ HUIDOBRO;DECRECIENTE;;;;;;
LINESTRING (-58.488462268919477 -34.551707030223518,-58.488554875423425 -34.551697291889859,-58.488650557210349 -34.551723047431061,-58.48877936125438 -34.551783656593223,-58.488826106154093 -34.551830057195481);1015;19093;RUIZ HUIDOBRO AV.;0;0;0;0;;AVENIDA;38.10;no corresponde altura 8-1-03;AV.RUIZ HUIDOBRO;DOBLE;2;Bicisendas preexistentes;;;;Bicisenda preexistente
LINESTRING (-58.479589781022291 -34.552031904701906,-58.479374931805701 -34.551992214087612,-58.479217624713634 -34.551958994496864,-58.478936287994856 -34.551869239349514,-58.478685764043128 -34.551774479291062,-58.478542921136089 -34.551705691910016);1043;7028;GARCIA DEL RIO;3402;3500;3401;3499;;CALLE;103.23;;GARCIA DEL RIO;DECRECIENTE;;;;;;
LINESTRING (-58.482059802247925 -34.551782089896889,-58.481667945052884 -34.551919692968852,-58.480924970066255 -34.55211303160754,-58.480786759831474 -34.552171387595948);1057;17065;PEREZ, ROQUE;3902;4000;3901;3999;URQUIZA;CALLE;124.80;;ROQUE PEREZ;DECRECIENTE;;;;;;
LINESTRING (-58.480786759831474 -34.552171387595948,-58.480571279457408 -34.55212478937527,-58.480106129688899 -34.552101764992287,-58.479684948056757 -34.552049497947706,-58.479589781022291 -34.552031904701906);1058;7028;GARCIA DEL RIO;3502;3600;3501;3599;;CALLE;111.25;;GARCIA DEL RIO;DECRECIENTE;;;;;;
LINESTRING (-58.464199096188388 -34.552286455651974,-58.464763505454009 -34.551515777983262);1078;16002;VUELTA DE OBLIGADO;3102;3200;3101;3199;OBLIGADO;CALLE;99.96;;VUELTA DE OBLIGADO;CRECIENTE;1;Ciclovías Proyectadas;;;;Ciclovía proyectada
LINESTRING (-58.448739263180627 -34.551654440367209,-58.449854645942246 -34.552315508840877);1080;4111;MONROE;1302;1400;1301;1399;;CALLE;125.93;;MONROE;CRECIENTE;1;Ciclovías;;;;Ciclovía
